Uniprot.ID,V_log2.i._TMT_1,V_log2.i._TMT_3,V_log2.i._TMT_5,V_log2.i._TMT_7,V_log2.i._TMT_9,D_log2.i._TMT_2,D_log2.i._TMT_4,D_log2.i._TMT_6,D_log2.i._TMT_8,D_log2.i._TMT_10
Q9BVM4,18.61871809,18.4318833,18.54798531,18.64645759,18.67583956,18.47430692,18.44076615,18.41639388,18.51667933,18.44451168
O14770,19.52970352,19.60156835,19.63019322,19.45504549,19.34948025,19.50261136,19.27696906,19.3399105,19.45504549,19.29622111
Q6XQN6,25.87311417,25.77986445,25.74982192,25.82752157,25.88593479,25.73310006,25.71257418,25.7532281,25.82203053,25.67070837
Q12931,26.83306198,26.91103799,26.90245575,26.85432749,26.73350944,26.95964558,27.02629145,26.95268122,26.84091073,27.02629145
P32780,19.05228802,19.02964705,19.05126497,18.91563294,19.07626472,18.94570997,18.93715696,18.81157052,18.99638368,18.99999691
Q9UBV2,22.36127346,22.39910558,22.3756807,22.39379709,22.31085579,22.45742622,22.41505962,22.38975095,22.38975095,22.41367903
Q8IY63,21.33520247,21.22565821,21.19998024,21.23937445,21.26047983,21.21178002,21.18553966,21.16948837,21.21039089,21.19342402
Q96A19,17.54591186,17.54591186,17.45150639,17.78700671,17.64618458,17.57055629,17.35142659,17.44502544,17.52329884,17.48079336
Q9BWE0,22.62614922,22.59803791,22.56993303,22.5575009,22.65003362,22.6013434,22.70514232,22.62490024,22.63624592,22.70416534
Q0VGL1,22.56993303,22.52799135,22.37066093,22.44051267,22.57087886,22.34794314,22.40400805,22.36454827,22.44584491,22.29930198
O00303,23.97527687,24.07022982,24.14767754,24.09629306,23.90468204,24.17445818,24.16783079,24.0714997,24.06444946,24.16121902
Q15382,23.91625775,23.92095481,23.91985568,23.88319175,23.80690609,24.00349627,24.02686762,23.98566322,23.9126365,23.94525957
Q6NYC8,24.98338711,24.90800558,24.94492617,24.95192324,25.01105699,24.92156738,24.86326874,24.92156738,24.94672741,24.84716423
O43169,25.45839303,25.34297746,25.33125939,25.42719013,25.50501675,25.28254247,25.18708419,25.25097777,25.32672129,25.29652354
Q9UJ14,19.61685999,19.51926824,19.44911367,19.5633369,19.59969733,19.51499639,19.50261136,19.47431072,19.48046352,19.44636102
O43414,20.63198448,20.78661942,20.6835154,20.58733436,20.54350029,20.71532374,20.78696978,20.74375466,20.68222404,20.78732014
Q8NCN2,21.28393283,21.12445242,21.16103326,21.2413533,21.2413533,21.17857849,21.11699415,21.08475355,21.15854121,21.02941013
